9.1.1	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile	EnableFirewall	DWORD	1
9.1.2	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile	DefaultInboundAction	DWORD	1
9.1.3	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile	DisableNotifications	DWORD	1
9.1.4	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging	LogFilePath	String	%SystemRoot%\System32\logfiles\firewall\domainfw.log
9.1.5	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging	LogFileSize	DWORD	16384
9.1.6	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging	LogDroppedPackets	DWORD	1
9.1.7	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging	LogSuccessfulConnections	DWORD	1
9.2.1	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile	EnableFirewall	DWORD	1
9.2.2	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile	DefaultInboundAction	DWORD	1
9.2.3	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile	DisableNotifications	DWORD	1
9.2.4	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging	LogFilePath	String	%SystemRoot%\System32\logfiles\firewall\privatefw.log
9.2.5	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging	LogFileSize	DWORD	16384
9.2.6	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging	LogDroppedPackets	DWORD	1
9.2.7	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging	LogSuccessfulConnections	DWORD	1
9.3.1	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile	EnableFirewall	DWORD	1
9.3.2	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile	DefaultInboundAction	DWORD	1
9.3.3	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile	DisableNotifications	DWORD	1
9.3.4	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile	AllowLocalPolicyMerge	DWORD	0
9.3.5	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile	AllowLocalIPsecPolicyMerge	DWORD	0
9.3.6	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging	LogFilePath	String	%SystemRoot%\System32\logfiles\firewall\publicfw.log
9.3.7	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging	LogFileSize	DWORD	16384
9.3.8	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging	LogDroppedPackets	DWORD	1
9.3.9	HKLM\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging	LogSuccessfulConnections	DWORD	1
